epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.36098,5.78761,13.8113,4.62239,0,0,0,0,0.23516,21.5469,0.13568,0,0,0
2,12.997,4.57312,7.20656,4.38657,0,0,0,0,0.23516,21.5469,0.13573,1.9934e-05,1.9934e-05,1.9934e-05
3,16.4909,5.28124,10.9689,4.37989,0,0,0,0,0.23561,21.5469,0.13599,3.9736e-05,3.9736e-05,3.9736e-05
4,19.8082,4.82132,7.81761,4.44388,0,0,0,0,0.23561,21.5469,0.13604,5.9406e-05,5.9406e-05,5.9406e-05
5,23.2386,4.23564,7.26274,4.52826,0,0,0,0,0.23561,21.5469,0.13608,7.8944e-05,7.8944e-05,7.8944e-05
6,26.6959,3.89303,7.58609,4.41656,0,0,0,0,0.23561,21.5469,0.13612,9.835e-05,9.835e-05,9.835e-05
7,30.1151,5.5883,12.251,4.27251,0,0,0,0,0.23561,21.5469,0.13615,0.000117624,0.000117624,0.000117624
8,33.8602,5.32826,11.7245,4.23922,0,0,0,0,0.23561,21.5469,0.13618,0.000136766,0.000136766,0.000136766
9,37.3982,4.36513,9.13758,4.35163,0,0,0,0,0.23561,21.5469,0.13622,0.000155776,0.000155776,0.000155776
10,40.9054,5.24524,7.86532,4.51576,0,0,0,0,0.23561,21.5469,0.13624,0.000174654,0.000174654,0.000174654
11,44.4312,4.93877,10.3261,4.32669,0,0,0,0,0.23561,21.5469,0.13627,0.0001934,0.0001934,0.0001934
12,48.0059,4.66809,7.40764,4.45621,0,0,0,0,0.23561,21.5469,0.13631,0.000212014,0.000212014,0.000212014
13,51.7386,5.39081,9.59258,4.3776,0,0,0,0,0.2302,21.5469,0.1332,0.000230496,0.000230496,0.000230496
14,55.2612,4.52867,7.49505,4.45804,0,0,0,0,0.22975,21.5469,0.13302,0.000248846,0.000248846,0.000248846
15,58.7739,5.63948,10.3498,4.19871,0,0,0,0,0.22975,21.5469,0.13306,0.000267064,0.000267064,0.000267064
16,62.2931,5.17769,9.9505,4.28381,0,0,0,0,0.22942,21.5469,0.13295,0.00028515,0.00028515,0.00028515
17,65.7013,4.85162,9.06455,4.34192,0,0,0,0,0.22419,21.5469,0.12993,0.000303104,0.000303104,0.000303104
18,69.1713,4.66633,7.424,4.23217,0,0,0,0,0.22304,21.5469,0.12933,0.000320926,0.000320926,0.000320926
19,72.628,5.33047,8.62078,4.25679,0,0,0,0,0.22304,21.5469,0.12942,0.000338616,0.000338616,0.000338616
20,76.0506,5.1091,8.42869,4.43372,0,0,0,0,0.2226,21.5469,0.12924,0.000356174,0.000356174,0.000356174
21,79.5007,5.23394,9.15666,4.20323,0,0,0,0,0.21774,21.5469,0.12648,0.0003736,0.0003736,0.0003736
22,82.9852,4.65466,7.0999,4.17471,0,0,0,0,0.21662,21.5469,0.12591,0.000390894,0.000390894,0.000390894
23,86.3987,4.7349,8.43953,4.15621,0,0,0,0,0.21382,21.5469,0.12435,0.000408056,0.000408056,0.000408056
24,89.8671,5.25595,7.63897,4.04785,0,0,0,0,0.21259,21.5469,0.12375,0.000425086,0.000425086,0.000425086
25,93.3161,4.7386,7.24727,3.96099,0,0,0,0,0.21117,21.5469,0.12305,0.000441984,0.000441984,0.000441984
26,96.7519,4.35294,6.24975,4.03347,0,0,0,0,0.20481,21.5312,0.11947,0.00045875,0.00045875,0.00045875
27,100.215,4.40002,6.66895,3.91106,0,0,0,0,0.20317,21.5312,0.11869,0.000475384,0.000475384,0.000475384
28,103.989,4.31878,6.42068,3.95694,0,0,0,0,0.19514,21.5312,0.11413,0.000491886,0.000491886,0.000491886
29,107.464,4.48686,5.75453,3.783,0,0,0,0,0.19444,21.5312,0.11393,0.000508256,0.000508256,0.000508256
30,110.974,4.327,6.65889,3.85314,0,0,0,0,0.18738,21.5312,0.10994,0.000524494,0.000524494,0.000524494
31,114.495,4.21481,5.65315,3.61773,0,0,0,0,0.18594,21.5312,0.10931,0.0005406,0.0005406,0.0005406
32,117.933,4.35491,6.3539,3.67178,0,0,0,0,0.17973,19.9688,0.10582,0.000556574,0.000556574,0.000556574
33,121.372,3.96452,5.76215,3.66072,0,0,0,0,0.17627,19.3438,0.10395,0.000572416,0.000572416,0.000572416
34,124.864,3.81826,5.2257,3.63891,0,0,0,0,0.17152,19.3125,0.10137,0.000588126,0.000588126,0.000588126
35,128.365,3.84633,5.24653,3.62901,0,0,0,0,0.16757,19.2812,0.09921,0.000603704,0.000603704,0.000603704
36,131.823,3.83216,5.27714,3.39597,0,0,0,0,0.15874,19.2656,0.09418,0.00061915,0.00061915,0.00061915
