epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,134.608,3.3063,3.65948,2.9715,0,0,0,0,0.24048,19.4062,0.14417,0.000821534,0.000821534,0.000821534
51,136.124,3.35283,3.63974,2.92967,0,0,0,0,0.21861,16.4062,0.13146,0.000835,0.000835,0.000835
52,137.63,3.30173,3.35145,2.72965,0,0,0,0,0.1866,16.3125,0.11286,0.000848334,0.000848334,0.000848334
53,139.137,3.08834,3.45961,2.59656,0,0,0,0,0.15507,16.1875,0.0945,0.000861536,0.000861536,0.000861536
54,140.691,3.30904,3.352,2.87084,0,0,0,0,0.13148,15.4062,0.08063,0.000874606,0.000874606,0.000874606
55,142.246,2.80906,2.90362,2.57547,0,0,0,0,0.12021,15.0938,0.07388,0.000887544,0.000887544,0.000887544
56,143.768,3.01541,3.21185,2.79588,0,0,0,0,0.11517,15.0234,0.07067,0.00090035,0.00090035,0.00090035
57,145.298,3.57191,3.21246,2.76325,0,0,0,0,0.11865,14.25,0.07253,0.000913024,0.000913024,0.000913024
58,146.825,3.08205,2.96638,2.61954,0,0,0,0,0.13766,13.6875,0.08333,0.000925566,0.000925566,0.000925566
59,148.338,3.38249,3.2744,2.8346,0,0,0,0,0.15797,13.5078,0.09488,0.000937976,0.000937976,0.000937976
60,149.849,3.00436,3.08626,2.56871,0,0,0,0,0.17375,14.1953,0.10396,0.000950254,0.000950254,0.000950254
61,151.379,3.18345,3.36161,2.55155,0,0,0,0,0.16132,14.2266,0.09678,0.0009624,0.0009624,0.0009624
62,152.876,2.97176,3.13351,2.6199,0,0,0,0,0.12575,14.1875,0.07614,0.000974414,0.000974414,0.000974414
63,154.4,3.09624,3.42951,2.55459,0,0,0,0,0.10244,14.1328,0.06255,0.000986296,0.000986296,0.000986296
64,155.925,3.12453,3.1069,2.47829,0,0,0,0,0.07625,14.1016,0.04712,0.000998046,0.000998046,0.000998046
65,157.438,2.84213,2.70625,2.29678,0,0,0,0,0.05704,14.4375,0.03576,0.00100966,0.00100966,0.00100966
66,158.956,2.83469,2.92578,2.54854,0,0,0,0,0.04937,14.375,0.03113,0.00102115,0.00102115,0.00102115
67,160.462,2.85678,2.99677,2.33004,0,0,0,0,0.04952,13.1875,0.03124,0.0010325,0.0010325,0.0010325
68,162.022,2.82931,2.91837,2.47953,0,0,0,0,0.05578,12.3438,0.0349,0.00104373,0.00104373,0.00104373
69,163.524,2.74992,2.6991,2.43379,0,0,0,0,0.06483,12.3125,0.04018,0.00105482,0.00105482,0.00105482
70,165.028,2.74451,2.48144,2.1938,0,0,0,0,0.08808,12.3203,0.0537,0.00106577,0.00106577,0.00106577
71,166.539,2.83097,2.54403,2.19534,0,0,0,0,0.14319,12.3438,0.08525,0.0010766,0.0010766,0.0010766
72,168.052,2.58116,2.63687,2.41702,0,0,0,0,0.23045,12.4062,0.13439,0.00108729,0.00108729,0.00108729
73,169.584,2.80306,2.56757,2.09476,0,0,0,0,0.27149,12.3594,0.1577,0.00109786,0.00109786,0.00109786
74,171.093,2.73967,2.60514,2.16785,0,0,0,0,0.21571,11.7344,0.12716,0.00110829,0.00110829,0.00110829
75,172.611,2.58734,2.41933,1.97119,0,0,0,0,0.1532,9.84375,0.0919,0.00111858,0.00111858,0.00111858
76,174.125,2.72155,2.46032,2.17856,0,0,0,0,0.10714,7.82812,0.0653,0.00112875,0.00112875,0.00112875
77,175.661,2.65521,2.33095,2.18183,0,0,0,0,0.09247,7.82031,0.05669,0.00113878,0.00113878,0.00113878
78,177.215,2.35414,2.33237,1.9883,0,0,0,0,0.09179,7.82031,0.05628,0.00114869,0.00114869,0.00114869
79,178.737,2.486,2.32827,2.06542,0,0,0,0,0.08107,7.82031,0.05002,0.00115846,0.00115846,0.00115846
80,180.282,2.50535,2.24905,1.92341,0,0,0,0,0.06709,7.81641,0.04182,0.00116809,0.00116809,0.00116809
81,181.851,2.54117,2.30111,1.90225,0,0,0,0,0.04825,7.80078,0.03057,0.0011776,0.0011776,0.0011776
82,183.428,2.64381,2.27554,2.05485,0,0,0,0,0.04861,6.95703,0.03076,0.00118697,0.00118697,0.00118697
83,184.973,2.37001,2.05881,1.83693,0,0,0,0,0.06925,6.38281,0.04294,0.00119622,0.00119622,0.00119622
84,186.514,2.48208,2.14319,1.94338,0,0,0,0,0.14737,6.37891,0.08763,0.00120533,0.00120533,0.00120533
85,188.056,2.68528,2.27017,1.90339,0,0,0,0,0.58325,6.57812,0.32204,0.0012143,0.0012143,0.0012143
86,189.653,2.41282,2.22025,2.10914,0,0,0,0,4.01622,8.5,1.9493,0.00122315,0.00122315,0.00122315
87,191.242,2.41365,2.13441,1.81647,0,0,0,0,2.80285,7.77344,1.40284,0.00123186,0.00123186,0.00123186
88,192.805,2.16984,2.03274,1.86084,0,0,0,0,0.53743,6.49219,0.29847,0.00124045,0.00124045,0.00124045
89,194.32,2.24338,1.90469,1.82533,0,0,0,0,0.1992,6.27734,0.11693,0.0012489,0.0012489,0.0012489
90,195.849,2.39788,2.02277,1.83248,0,0,0,0,0.12003,6.23828,0.07252,0.00125721,0.00125721,0.00125721
91,197.376,2.28222,1.98238,1.95742,0,0,0,0,0.09347,6.19922,0.05735,0.0012654,0.0012654,0.0012654
92,198.877,2.28099,1.87102,1.84389,0,0,0,0,0.08081,6.19531,0.04996,0.00127345,0.00127345,0.00127345
93,200.38,2.15027,1.74227,1.6566,0,0,0,0,0.08696,6.19922,0.05369,0.00128138,0.00128138,0.00128138
94,201.904,2.187,1.82722,1.75658,0,0,0,0,0.14034,6.21484,0.08479,0.00128917,0.00128917,0.00128917
95,203.416,2.26097,1.84086,1.72558,0,0,0,0,0.29942,6.30469,0.17404,0.00129682,0.00129682,0.00129682
96,204.92,2.08996,1.70683,1.7227,0,0,0,0,0.60087,6.47656,0.3332,0.00130435,0.00130435,0.00130435
