epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9279,5.78761,13.8113,4.62239,0,0,0,0,0.23516,21.5469,0.13568,0,0,0
2,29.9226,4.57312,7.20656,4.38657,0,0,0,0,0.23516,21.5469,0.13573,1.9934e-05,1.9934e-05,1.9934e-05
3,31.9115,5.28124,10.9689,4.37989,0,0,0,0,0.23561,21.5469,0.13599,3.9736e-05,3.9736e-05,3.9736e-05
4,34.7029,4.82132,7.81761,4.44388,0,0,0,0,0.23561,21.5469,0.13604,5.9406e-05,5.9406e-05,5.9406e-05
5,36.4164,4.23564,7.26274,4.52826,0,0,0,0,0.23561,21.5469,0.13608,7.8944e-05,7.8944e-05,7.8944e-05
6,37.8776,3.89303,7.58609,4.41656,0,0,0,0,0.23561,21.5469,0.13612,9.835e-05,9.835e-05,9.835e-05
7,39.0847,5.5883,12.251,4.27251,0,0,0,0,0.23561,21.5469,0.13615,0.000117624,0.000117624,0.000117624
8,40.3046,5.32826,11.7245,4.23922,0,0,0,0,0.23561,21.5469,0.13618,0.000136766,0.000136766,0.000136766
9,41.4971,4.36513,9.13758,4.35163,0,0,0,0,0.23561,21.5469,0.13622,0.000155776,0.000155776,0.000155776
10,42.7797,5.24524,7.86532,4.51576,0,0,0,0,0.23561,21.5469,0.13624,0.000174654,0.000174654,0.000174654
11,44.1888,4.93877,10.3261,4.32669,0,0,0,0,0.23561,21.5469,0.13627,0.0001934,0.0001934,0.0001934
12,45.5938,4.66809,7.40764,4.45621,0,0,0,0,0.23561,21.5469,0.13631,0.000212014,0.000212014,0.000212014
13,47.0205,5.39081,9.59258,4.3776,0,0,0,0,0.2302,21.5469,0.1332,0.000230496,0.000230496,0.000230496
14,48.4345,4.53119,7.49547,4.45597,0,0,0,0,0.22975,21.5469,0.13302,0.000248846,0.000248846,0.000248846
15,49.8484,5.64313,10.3701,4.19777,0,0,0,0,0.22717,21.5469,0.13155,0.000267064,0.000267064,0.000267064
16,51.2957,5.19186,10.0276,4.29888,0,0,0,0,0.22942,21.5469,0.13295,0.00028515,0.00028515,0.00028515
17,52.7203,4.89592,9.23867,4.32965,0,0,0,0,0.22419,21.5469,0.12993,0.000303104,0.000303104,0.000303104
18,54.1127,4.66246,7.2227,4.25114,0,0,0,0,0.22304,21.5469,0.12933,0.000320926,0.000320926,0.000320926
19,55.6683,5.37387,8.54022,4.25214,0,0,0,0,0.22304,21.5469,0.12943,0.000338616,0.000338616,0.000338616
20,57.1235,5.211,8.68561,4.35392,0,0,0,0,0.2226,21.5469,0.12926,0.000356174,0.000356174,0.000356174
21,58.5261,5.25549,9.27617,4.21361,0,0,0,0,0.21774,21.5469,0.12652,0.0003736,0.0003736,0.0003736
22,59.937,4.76747,7.28729,4.16348,0,0,0,0,0.21662,21.5469,0.12597,0.000390894,0.000390894,0.000390894
23,61.3501,4.9109,8.5909,4.15208,0,0,0,0,0.21333,21.5469,0.12414,0.000408056,0.000408056,0.000408056
24,62.7614,5.06184,7.28951,4.08215,0,0,0,0,0.2119,21.5312,0.12344,0.000425086,0.000425086,0.000425086
25,64.1945,4.63181,6.92664,4.08015,0,0,0,0,0.20512,21.5312,0.11959,0.000441984,0.000441984,0.000441984
26,65.6097,4.36892,6.34648,4.06276,0,0,0,0,0.20358,21.5312,0.11885,0.00045875,0.00045875,0.00045875
27,67.0702,4.52429,6.58718,3.87803,0,0,0,0,0.19752,21.5312,0.11546,0.000475384,0.000475384,0.000475384
28,68.5749,4.35621,6.44634,3.92575,0,0,0,0,0.19584,21.5312,0.11468,0.000491886,0.000491886,0.000491886
29,70.0474,4.36827,5.88594,3.81169,0,0,0,0,0.19209,21.5312,0.1127,0.000508256,0.000508256,0.000508256
30,71.6223,4.34468,6.52632,3.72189,0,0,0,0,0.1869,21.5312,0.10984,0.000524494,0.000524494,0.000524494
31,73.0417,4.15772,5.30414,3.63893,0,0,0,0,0.18038,19.9688,0.10619,0.0005406,0.0005406,0.0005406
32,74.4438,4.45695,6.13183,3.62569,0,0,0,0,0.17599,19.5625,0.10383,0.000556574,0.000556574,0.000556574
33,75.8858,3.94494,5.53126,3.6386,0,0,0,0,0.17062,19.3438,0.10084,0.000572416,0.000572416,0.000572416
34,77.2848,3.87998,5.02978,3.56121,0,0,0,0,0.16536,19.2812,0.09792,0.000588126,0.000588126,0.000588126
35,78.7477,3.88832,5.03501,3.61326,0,0,0,0,0.15764,19.2656,0.09359,0.000603704,0.000603704,0.000603704
36,81.1159,3.82425,5.17979,3.39509,0,0,0,0,0.14991,19.2656,0.08925,0.00061915,0.00061915,0.00061915
37,82.9892,3.83743,5.08745,3.27066,0,0,0,0,0.14555,19.2656,0.08684,0.000634464,0.000634464,0.000634464
38,84.8418,3.69317,4.79848,3.40695,0,0,0,0,0.13708,19.2656,0.08204,0.000649646,0.000649646,0.000649646
39,86.2934,3.99374,5.37512,3.57219,0,0,0,0,0.12971,19.2656,0.07788,0.000664696,0.000664696,0.000664696
40,87.7234,3.86754,4.71933,3.28744,0,0,0,0,0.11994,19.25,0.07233,0.000679614,0.000679614,0.000679614
41,89.1638,3.69216,4.68512,3.37475,0,0,0,0,0.11586,18.8906,0.07005,0.0006944,0.0006944,0.0006944
42,90.5619,3.38517,4.32696,2.89071,0,0,0,0,0.11329,18.5312,0.06856,0.000709054,0.000709054,0.000709054
43,92.0172,3.80497,4.74694,3.03737,0,0,0,0,0.11453,18.5,0.06923,0.000723576,0.000723576,0.000723576
44,93.4456,3.19579,3.77339,2.91706,0,0,0,0,0.11273,18.5,0.0681,0.000737966,0.000737966,0.000737966
45,94.8505,3.36022,4.3797,2.98741,0,0,0,0,0.11102,18.5,0.06701,0.000752224,0.000752224,0.000752224
46,96.29,3.47424,4.02141,2.81981,0,0,0,0,0.11052,9.39062,0.06678,0.00076635,0.00076635,0.00076635
47,97.7056,3.30637,3.93589,2.8802,0,0,0,0,0.10476,7.53125,0.06344,0.000780344,0.000780344,0.000780344
48,99.1488,3.25199,3.77023,2.71539,0,0,0,0,0.10111,6.74219,0.06122,0.000794206,0.000794206,0.000794206
49,100.578,3.39374,3.91214,2.87175,0,0,0,0,0.09736,6.39844,0.05896,0.000807936,0.000807936,0.000807936
50,102.261,3.29988,3.83761,2.92388,0,0,0,0,0.09842,6.39844,0.05945,0.000821534,0.000821534,0.000821534
51,103.735,3.00627,3.5561,2.7682,0,0,0,0,0.1004,7.46094,0.06046,0.000835,0.000835,0.000835
52,105.139,3.32405,3.49485,2.83378,0,0,0,0,0.11971,7.83203,0.07118,0.000848334,0.000848334,0.000848334
53,106.541,3.42027,4.10534,2.77776,0,0,0,0,0.12118,7.92969,0.07177,0.000861536,0.000861536,0.000861536
54,107.956,3.30525,3.52137,2.75076,0,0,0,0,0.11953,7.93359,0.07051,0.000874606,0.000874606,0.000874606
55,109.353,3.20273,3.38138,2.47991,0,0,0,0,0.09414,7.8125,0.056,0.000887544,0.000887544,0.000887544
56,110.8,2.91111,3.45553,2.55519,0,0,0,0,0.07212,7.55469,0.04338,0.00090035,0.00090035,0.00090035
57,112.213,3.12006,3.31651,2.30504,0,0,0,0,0.05341,6.72656,0.03261,0.000913024,0.000913024,0.000913024
58,113.657,3.16628,3.06933,2.53748,0,0,0,0,0.04358,5.42969,0.02678,0.000925566,0.000925566,0.000925566
59,115.041,2.84865,3.20611,2.43131,0,0,0,0,0.0379,4.53906,0.0234,0.000937976,0.000937976,0.000937976
60,116.492,2.98847,3.16242,2.2757,0,0,0,0,0.03663,3.96094,0.02253,0.000950254,0.000950254,0.000950254
61,117.913,2.97546,2.96537,2.28004,0,0,0,0,0.03585,3.94531,0.02211,0.0009624,0.0009624,0.0009624
62,119.292,2.8341,2.74792,2.3443,0,0,0,0,0.03283,3.94141,0.02027,0.000974414,0.000974414,0.000974414
63,120.67,2.93582,2.9081,2.54237,0,0,0,0,0.03255,3.94141,0.02012,0.000986296,0.000986296,0.000986296
64,122.082,3.12642,3.05224,2.38625,0,0,0,0,0.03437,3.94141,0.0212,0.000998046,0.000998046,0.000998046
65,123.507,2.73761,2.90807,2.05852,0,0,0,0,0.03773,3.92969,0.02317,0.00100966,0.00100966,0.00100966
66,124.899,2.59426,2.91679,2.38503,0,0,0,0,0.03825,3.92969,0.02343,0.00102115,0.00102115,0.00102115
67,126.308,2.68096,2.7691,2.18763,0,0,0,0,0.04204,3.92969,0.02555,0.0010325,0.0010325,0.0010325
68,127.771,2.63099,2.63042,2.29751,0,0,0,0,0.04786,3.91406,0.02891,0.00104373,0.00104373,0.00104373
69,129.178,2.49066,2.4734,2.14708,0,0,0,0,0.05037,3.91406,0.03038,0.00105482,0.00105482,0.00105482
70,130.597,2.70892,2.43363,2.00195,0,0,0,0,0.06374,3.92188,0.03792,0.00106577,0.00106577,0.00106577
71,131.99,2.52282,2.62949,2.37678,0,0,0,0,0.09398,3.9375,0.05474,0.0010766,0.0010766,0.0010766
