epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0509,4.83674,10.011,4.50237,0,0,0,0,2.30008,32.7812,1.35866,2e-05,2e-05,2e-05
2,38.0838,5.393,12.3568,4.29871,0,0,0,0,2.30184,32.7812,1.36031,5.9802e-05,5.9802e-05,5.9802e-05
3,41.1365,5.5308,11.6096,4.46736,0,0,0,0,2.30184,32.7812,1.361,9.934e-05,9.934e-05,9.934e-05
4,43.3055,5.52106,10.8211,4.39554,0,0,0,0,2.30184,32.7812,1.36165,0.000138614,0.000138614,0.000138614
5,49.0724,4.74982,9.29035,4.39489,0,0,0,0,2.30184,32.7812,1.36234,0.000177624,0.000177624,0.000177624
6,54.9251,5.04892,8.16308,4.31501,0,0,0,0,2.30184,32.7812,1.36273,0.00021637,0.00021637,0.00021637
7,60.6815,5.12291,9.7831,4.5239,0,0,0,0,2.28006,32.7812,1.35054,0.000254852,0.000254852,0.000254852
8,65.8825,4.84977,8.60893,4.3069,0,0,0,0,2.27873,32.75,1.3509,0.00029307,0.00029307,0.00029307
9,70.9503,5.39104,9.85755,4.23739,0,0,0,0,2.24787,32.75,1.33377,0.000331024,0.000331024,0.000331024
10,72.7053,4.50215,10.3992,4.33658,0,0,0,0,2.22303,32.75,1.32043,0.000368714,0.000368714,0.000368714
11,74.4416,4.83046,8.68106,4.05412,0,0,0,0,2.19921,32.7188,1.30814,0.00040614,0.00040614,0.00040614
12,79.4068,4.63709,8.97525,4.15679,0,0,0,0,2.17297,32.7188,1.29475,0.000443302,0.000443302,0.000443302
13,84.4619,4.6356,6.77481,3.96733,0,0,0,0,2.16837,32.7188,1.29513,0.0004802,0.0004802,0.0004802
14,89.4427,4.25317,6.71067,3.94691,0,0,0,0,2.11404,32.6875,1.26527,0.000516834,0.000516834,0.000516834
15,94.2667,4.04521,6.60048,3.9741,0,0,0,0,2.06764,32.6875,1.24006,0.000553204,0.000553204,0.000553204
16,99.1475,4.33623,8.2325,3.74468,0,0,0,0,2.04182,29.25,1.22834,0.00058931,0.00058931,0.00058931
17,104.008,4.38469,6.32976,3.56508,0,0,0,0,2.02883,29.1406,1.22401,0.000625152,0.000625152,0.000625152
18,108.842,3.95175,5.7399,3.72774,0,0,0,0,2.00007,29.1406,1.20792,0.00066073,0.00066073,0.00066073
19,113.681,4.36419,6.05576,3.51116,0,0,0,0,1.92762,29.0938,1.16939,0.000696044,0.000696044,0.000696044
20,118.421,3.80989,5.5874,3.6924,0,0,0,0,1.79254,25.5781,1.09614,0.000731094,0.000731094,0.000731094
21,123.143,3.49838,4.95101,3.45058,0,0,0,0,1.64653,25.3906,1.01618,0.00076588,0.00076588,0.00076588
22,128.127,3.8955,5.32804,3.05267,0,0,0,0,1.53942,13.0156,0.95459,0.000800402,0.000800402,0.000800402
23,132.936,3.69319,4.8683,3.2147,0,0,0,0,1.51453,11.2578,0.93992,0.00083466,0.00083466,0.00083466
24,134.693,3.63594,4.9833,3.01542,0,0,0,0,1.63263,8.52344,1.00622,0.000868654,0.000868654,0.000868654
25,136.428,3.64755,4.22689,3.0708,0,0,0,0,1.83959,8.125,1.11903,0.000902384,0.000902384,0.000902384
26,141.539,3.82336,4.94505,3.03515,0,0,0,0,2.03559,8.25,1.22466,0.00093585,0.00093585,0.00093585
