fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
21.0,car,0,1,993,614,1920,1072,,0.0,0,0,0,0,
21.0,truck,0,4,240,477,395,615,,0.0,0,0,0,0,
21.0,car,0,5,661,537,919,714,,0.0,0,0,0,0,
21.0,car,0,6,417,503,480,550,,0.0,0,0,0,0,
21.0,car,0,2,899,534,1323,763,,0.0,0,0,0,0,
22.0,car,0,1,1047,617,1920,1073,,0.0,0,0,0,0,
22.0,truck,0,4,239,477,399,617,,0.0,0,0,0,0,
22.0,car,0,5,660,538,919,714,,0.0,0,0,0,0,
22.0,car,0,6,418,506,481,554,,0.0,0,0,0,0,
22.0,car,0,2,900,535,1332,784,,0.0,0,0,0,0,
23.0,car,0,1,1113,628,1920,1073,,0.0,0,0,0,0,
23.0,truck,0,4,239,476,404,618,,0.0,0,0,0,0,
23.0,car,0,5,660,538,920,713,,0.0,0,0,0,0,
23.0,car,0,6,416,505,482,555,,0.0,0,0,0,0,
23.0,car,0,2,899,535,1363,804,,0.0,0,0,0,0,
24.0,car,0,1,1190,647,1920,1071,,0.0,0,0,0,0,
24.0,truck,0,4,241,473,408,618,,0.0,0,0,0,0,
24.0,car,0,5,661,538,920,713,,0.0,0,0,0,0,
24.0,car,0,6,417,510,484,557,,0.0,0,0,0,0,
24.0,car,0,2,900,534,1425,813,159,0.473094274618215,431,66,459,86,159
25.0,car,0,1,1283,662,1920,1069,,0.0,0,0,0,0,
25.0,truck,0,4,244,472,409,619,,0.0,0,0,0,0,
25.0,car,0,5,662,539,919,713,,0.0,0,0,0,0,
25.0,car,0,6,413,505,484,560,,0.0,0,0,0,0,
25.0,car,0,2,900,535,1431,816,5963GXZ,0.46684047221205,432,64,501,86,5963GXZ
26.0,car,0,1,1407,675,1920,1070,,0.0,0,0,0,0,
26.0,truck,0,4,242,472,408,620,,0.0,0,0,0,0,
26.0,car,0,5,662,539,920,713,,0.0,0,0,0,0,
26.0,car,0,6,410,509,485,563,,0.0,0,0,0,0,
26.0,car,0,2,901,535,1435,818,5980,0.4713711738586426,431,62,501,86,5980
27.0,car,0,1,1560,689,1920,1069,,0.0,0,0,0,0,
27.0,truck,0,4,244,471,409,621,,0.0,0,0,0,0,
27.0,car,0,5,662,539,920,713,,0.0,0,0,0,0,
27.0,car,0,6,410,506,486,562,,0.0,0,0,0,0,
27.0,car,0,2,901,535,1436,819,596502,0.295281978077725,430,62,502,85,596502
27.0,car,0,10,1458,575,1587,662,,0.0,0,0,0,0,
28.0,truck,0,4,243,471,410,622,,0.0,0,0,0,0,
28.0,car,0,5,662,539,921,713,,0.0,0,0,0,0,
28.0,car,0,6,406,504,486,562,,0.0,0,0,0,0,
28.0,car,0,2,901,535,1436,819,5980Z,0.3100002198897324,431,62,503,86,5980Z
28.0,car,0,10,1454,573,1589,661,,0.0,0,0,0,0,
29.0,truck,0,4,244,466,411,622,,0.0,0,0,0,0,
29.0,car,0,5,663,539,921,713,,0.0,0,0,0,0,
29.0,car,0,6,406,509,489,565,,0.0,0,0,0,0,
29.0,car,0,2,901,536,1437,819,5900,0.7268394690689634,431,62,503,86,5900
29.0,car,0,10,1451,573,1589,660,,0.0,0,0,0,0,
30.0,truck,0,4,245,452,413,624,,0.0,0,0,0,0,
30.0,car,0,5,663,540,921,713,,0.0,0,0,0,0,
30.0,car,0,6,407,509,489,566,,0.0,0,0,0,0,
30.0,car,0,2,901,536,1437,819,5960,0.2611223775544999,431,62,503,86,5960
30.0,car,0,10,1446,572,1589,661,,0.0,0,0,0,0,
31.0,truck,0,4,243,460,416,626,,0.0,0,0,0,0,
31.0,car,0,5,663,540,921,714,,0.0,0,0,0,0,
31.0,car,0,6,411,510,494,568,,0.0,0,0,0,0,
31.0,car,0,2,902,536,1436,818,5980,0.9162539839744568,432,62,501,86,5980
31.0,car,0,10,1437,570,1590,662,,0.0,0,0,0,0,
32.0,car,0,4,247,464,417,629,,0.0,0,0,0,0,
32.0,car,0,5,664,540,921,715,,0.0,0,0,0,0,
32.0,car,0,6,412,508,490,564,,0.0,0,0,0,0,
32.0,car,0,2,902,536,1436,818,5980,0.7170867919921875,431,62,501,86,5980
32.0,car,0,10,1401,570,1589,665,,0.0,0,0,0,0,
33.0,truck,0,4,247,465,418,629,,0.0,0,0,0,0,
33.0,car,0,5,665,540,922,715,,0.0,0,0,0,0,
33.0,car,0,6,415,512,488,564,,0.0,0,0,0,0,
33.0,car,0,2,902,536,1436,818,59830,0.42661414600057923,432,62,502,86,59830
33.0,car,0,10,1408,571,1590,664,,0.0,0,0,0,0,
34.0,truck,0,4,248,469,421,627,,0.0,0,0,0,0,
34.0,car,0,5,665,541,922,715,,0.0,0,0,0,0,
34.0,car,0,6,416,510,495,565,,0.0,0,0,0,0,
34.0,car,0,2,903,536,1437,819,59850,0.3215577781180024,429,63,501,86,59850
34.0,car,0,10,1404,571,1591,664,,0.0,0,0,0,0,
35.0,car,0,4,250,471,424,632,,0.0,0,0,0,0,
35.0,car,0,5,665,541,922,715,,0.0,0,0,0,0,
35.0,car,0,6,419,509,497,564,,0.0,0,0,0,0,
35.0,car,0,2,903,536,1437,819,598502,0.39670554340767106,430,63,502,86,598502
35.0,car,0,10,1409,572,1591,663,,0.0,0,0,0,0,
36.0,truck,0,4,249,475,427,632,,0.0,0,0,0,0,
36.0,car,0,5,665,541,923,716,,0.0,0,0,0,0,
36.0,car,0,6,418,508,490,564,,0.0,0,0,0,0,
36.0,car,0,2,903,536,1437,819,59836X2,0.42167195117199685,431,64,500,86,59836X2
36.0,car,0,10,1402,573,1590,663,,0.0,0,0,0,0,
37.0,truck,0,4,250,477,430,636,,0.0,0,0,0,0,
37.0,car,0,5,666,540,924,716,,0.0,0,0,0,0,
37.0,car,0,6,417,506,488,565,,0.0,0,0,0,0,
37.0,car,0,2,903,535,1437,819,590362,0.43484636157663065,433,63,501,86,590362
37.0,car,0,10,1393,573,1590,665,,0.0,0,0,0,0,
38.0,truck,0,4,252,478,433,637,,0.0,0,0,0,0,
38.0,car,0,5,666,540,924,716,,0.0,0,0,0,0,
38.0,car,0,6,418,506,486,565,,0.0,0,0,0,0,
38.0,car,0,2,903,535,1437,819,59636X2,0.2937940163432024,433,64,502,86,59636X2
38.0,car,0,10,1394,573,1592,665,,0.0,0,0,0,0,
39.0,truck,0,4,251,478,434,638,,0.0,0,0,0,0,
39.0,car,0,5,665,540,925,716,,0.0,0,0,0,0,
39.0,car,0,6,419,506,480,564,,0.0,0,0,0,0,
39.0,car,0,2,904,535,1437,819,59836XZ,0.5159355819866771,434,63,501,86,59836XZ
39.0,car,0,10,1388,573,1591,664,,0.0,0,0,0,0,
40.0,truck,0,4,255,475,437,638,,0.0,0,0,0,0,
40.0,car,0,5,665,540,925,717,,0.0,0,0,0,0,
40.0,car,0,6,422,507,479,565,,0.0,0,0,0,0,
40.0,car,0,2,904,536,1437,819,59836XZ,0.30176391280103104,433,64,502,86,59836XZ
40.0,car,0,10,1383,572,1589,663,,0.0,0,0,0,0,
41.0,car,0,4,257,474,441,639,,0.0,0,0,0,0,
41.0,car,0,5,665,542,925,718,,0.0,0,0,0,0,
41.0,car,0,6,427,507,478,564,,0.0,0,0,0,0,
41.0,car,0,2,905,537,1437,819,598302,0.4352263885044105,433,64,501,86,598302
41.0,car,0,10,1380,571,1588,664,,0.0,0,0,0,0,
