fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
46.0,bus,0,1,1342,179,1630,412,,0.0,0,0,0,0,
46.0,car,0,2,1300,315,1340,361,,0.0,0,0,0,0,
47.0,bus,0,1,1341,181,1626,412,,0.0,0,0,0,0,
47.0,car,0,2,1300,313,1340,359,,0.0,0,0,0,0,
48.0,bus,0,1,1341,182,1623,413,,0.0,0,0,0,0,
48.0,car,0,2,1300,313,1339,358,,0.0,0,0,0,0,
49.0,bus,0,1,1340,184,1615,413,,0.0,0,0,0,0,
49.0,car,0,2,1298,314,1338,357,,0.0,0,0,0,0,
50.0,bus,0,1,1340,185,1612,412,,0.0,0,0,0,0,
50.0,car,0,2,1297,315,1338,357,,0.0,0,0,0,0,
51.0,bus,0,1,1340,188,1603,411,,0.0,0,0,0,0,
51.0,car,0,2,1296,316,1338,359,,0.0,0,0,0,0,
52.0,bus,0,1,1337,188,1598,411,,0.0,0,0,0,0,
52.0,car,0,2,1295,318,1337,359,,0.0,0,0,0,0,
53.0,bus,0,1,1336,189,1595,411,,0.0,0,0,0,0,
53.0,car,0,2,1294,319,1337,361,,0.0,0,0,0,0,
54.0,bus,0,1,1335,190,1591,411,,0.0,0,0,0,0,
54.0,car,0,2,1293,318,1337,362,,0.0,0,0,0,0,
55.0,bus,0,1,1334,191,1591,409,,0.0,0,0,0,0,
55.0,car,0,2,1293,314,1336,363,,0.0,0,0,0,0,
56.0,bus,0,1,1334,191,1584,409,,0.0,0,0,0,0,
56.0,car,0,2,1293,313,1336,361,,0.0,0,0,0,0,
57.0,bus,0,1,1334,192,1579,408,,0.0,0,0,0,0,
57.0,car,0,2,1293,312,1336,359,,0.0,0,0,0,0,
58.0,bus,0,1,1334,192,1575,407,,0.0,0,0,0,0,
58.0,car,0,2,1292,312,1333,356,,0.0,0,0,0,0,
59.0,bus,0,1,1333,193,1570,406,,0.0,0,0,0,0,
59.0,car,0,2,1292,313,1331,355,,0.0,0,0,0,0,
60.0,bus,0,1,1332,195,1567,404,,0.0,0,0,0,0,
60.0,car,0,2,1290,314,1330,356,,0.0,0,0,0,0,
61.0,bus,0,1,1333,195,1563,404,,0.0,0,0,0,0,
61.0,car,0,2,1290,315,1329,356,,0.0,0,0,0,0,
62.0,bus,0,1,1333,196,1561,404,,0.0,0,0,0,0,
62.0,car,0,2,1289,318,1328,357,,0.0,0,0,0,0,
63.0,bus,0,1,1333,198,1555,405,,0.0,0,0,0,0,
63.0,car,0,2,1289,321,1329,358,,0.0,0,0,0,0,
64.0,bus,0,1,1330,198,1551,405,,0.0,0,0,0,0,
64.0,car,0,2,1289,321,1328,358,,0.0,0,0,0,0,
65.0,bus,0,1,1328,198,1548,403,,0.0,0,0,0,0,
65.0,car,0,2,1288,319,1327,358,,0.0,0,0,0,0,
66.0,bus,0,1,1327,199,1543,401,,0.0,0,0,0,0,
66.0,car,0,2,1288,319,1326,359,,0.0,0,0,0,0,
