fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
45.0,car,0,5,1048,315,1107,343,,0.0,0,0,0,0,
46.0,car,0,2,1127,311,1194,363,,0.0,0,0,0,0,
46.0,car,0,4,1420,325,1590,432,,0.0,0,0,0,0,
46.0,car,0,5,1050,316,1113,345,,0.0,0,0,0,0,
47.0,car,0,2,1126,311,1194,363,,0.0,0,0,0,0,
47.0,car,0,4,1420,326,1584,429,,0.0,0,0,0,0,
47.0,car,0,5,1052,317,1116,345,,0.0,0,0,0,0,
48.0,car,0,2,1126,311,1195,364,,0.0,0,0,0,0,
48.0,car,0,4,1419,329,1577,427,,0.0,0,0,0,0,
48.0,car,0,5,1055,318,1117,345,,0.0,0,0,0,0,
49.0,car,0,2,1126,310,1194,364,,0.0,0,0,0,0,
49.0,car,0,4,1411,327,1570,426,,0.0,0,0,0,0,
49.0,car,0,5,1057,317,1116,345,,0.0,0,0,0,0,
50.0,car,0,2,1126,310,1194,363,,0.0,0,0,0,0,
50.0,car,0,4,1407,327,1565,424,,0.0,0,0,0,0,
50.0,car,0,5,1058,316,1117,345,,0.0,0,0,0,0,
51.0,car,0,2,1124,309,1195,363,,0.0,0,0,0,0,
51.0,car,0,4,1405,327,1559,423,,0.0,0,0,0,0,
51.0,car,0,5,1060,316,1118,345,,0.0,0,0,0,0,
52.0,car,0,2,1125,309,1195,364,,0.0,0,0,0,0,
52.0,car,0,4,1401,328,1552,422,,0.0,0,0,0,0,
52.0,car,0,5,1060,316,1118,345,,0.0,0,0,0,0,
53.0,car,0,2,1126,309,1195,364,,0.0,0,0,0,0,
53.0,car,0,4,1396,327,1544,419,,0.0,0,0,0,0,
53.0,car,0,5,1060,316,1117,345,,0.0,0,0,0,0,
54.0,car,0,2,1126,309,1195,365,,0.0,0,0,0,0,
54.0,car,0,4,1393,326,1540,418,,0.0,0,0,0,0,
54.0,car,0,5,1059,315,1120,345,,0.0,0,0,0,0,
55.0,car,0,2,1126,309,1194,365,,0.0,0,0,0,0,
55.0,car,0,4,1398,326,1534,416,,0.0,0,0,0,0,
55.0,car,0,5,1060,315,1123,345,,0.0,0,0,0,0,
56.0,car,0,2,1124,309,1195,365,,0.0,0,0,0,0,
56.0,car,0,4,1404,327,1529,414,,0.0,0,0,0,0,
56.0,car,0,5,1061,315,1124,344,,0.0,0,0,0,0,
57.0,car,0,2,1122,309,1197,365,,0.0,0,0,0,0,
57.0,car,0,4,1394,326,1523,413,,0.0,0,0,0,0,
57.0,car,0,5,1062,316,1125,345,,0.0,0,0,0,0,
58.0,car,0,2,1120,309,1196,365,,0.0,0,0,0,0,
58.0,car,0,4,1389,326,1518,411,,0.0,0,0,0,0,
58.0,car,0,5,1064,315,1125,345,,0.0,0,0,0,0,
59.0,car,0,2,1121,310,1196,366,,0.0,0,0,0,0,
59.0,car,0,4,1384,325,1514,409,,0.0,0,0,0,0,
59.0,car,0,5,1065,316,1126,345,,0.0,0,0,0,0,
60.0,car,0,2,1120,308,1195,365,,0.0,0,0,0,0,
60.0,car,0,4,1378,324,1510,409,,0.0,0,0,0,0,
60.0,car,0,5,1067,316,1126,345,,0.0,0,0,0,0,
61.0,car,0,2,1118,308,1196,366,,0.0,0,0,0,0,
61.0,car,0,4,1378,324,1508,408,,0.0,0,0,0,0,
61.0,car,0,5,1069,317,1127,347,,0.0,0,0,0,0,
62.0,car,0,2,1118,310,1195,367,,0.0,0,0,0,0,
62.0,car,0,4,1380,324,1507,407,,0.0,0,0,0,0,
62.0,car,0,5,1074,316,1126,348,,0.0,0,0,0,0,
63.0,car,0,2,1118,311,1195,367,,0.0,0,0,0,0,
63.0,car,0,4,1383,324,1503,406,,0.0,0,0,0,0,
63.0,car,0,5,1077,316,1127,351,,0.0,0,0,0,0,
64.0,car,0,2,1120,310,1194,367,,0.0,0,0,0,0,
64.0,car,0,4,1374,323,1501,404,,0.0,0,0,0,0,
64.0,car,0,5,1080,315,1128,349,,0.0,0,0,0,0,
65.0,car,0,2,1118,310,1193,367,,0.0,0,0,0,0,
65.0,car,0,4,1369,323,1497,404,,0.0,0,0,0,0,
65.0,car,0,5,1080,314,1128,356,,0.0,0,0,0,0,
66.0,car,0,2,1117,310,1193,367,,0.0,0,0,0,0,
66.0,car,0,4,1369,323,1493,403,,0.0,0,0,0,0,
66.0,car,0,5,1080,314,1126,354,,0.0,0,0,0,0,
67.0,car,0,2,1116,310,1193,367,,0.0,0,0,0,0,
67.0,car,0,4,1368,324,1484,403,,0.0,0,0,0,0,
67.0,car,0,5,1081,314,1125,354,,0.0,0,0,0,0,
68.0,car,0,2,1116,310,1192,368,,0.0,0,0,0,0,
68.0,car,0,4,1366,324,1479,401,,0.0,0,0,0,0,
68.0,car,0,5,1081,314,1122,355,,0.0,0,0,0,0,
69.0,car,0,2,1115,310,1192,368,,0.0,0,0,0,0,
69.0,car,0,4,1361,324,1475,399,,0.0,0,0,0,0,
69.0,car,0,5,1083,314,1121,353,,0.0,0,0,0,0,
70.0,car,0,2,1115,309,1191,369,,0.0,0,0,0,0,
70.0,car,0,4,1358,324,1473,397,,0.0,0,0,0,0,
70.0,car,0,5,1083,315,1120,355,,0.0,0,0,0,0,
71.0,car,0,2,1114,309,1191,369,,0.0,0,0,0,0,
71.0,car,0,4,1358,324,1471,395,,0.0,0,0,0,0,
71.0,car,0,5,1086,315,1120,360,,0.0,0,0,0,0,
72.0,car,0,2,1114,309,1190,369,,0.0,0,0,0,0,
72.0,car,0,4,1360,324,1466,395,,0.0,0,0,0,0,
72.0,car,0,5,1087,315,1119,361,,0.0,0,0,0,0,
73.0,car,0,2,1112,309,1189,369,,0.0,0,0,0,0,
73.0,car,0,4,1360,324,1464,394,,0.0,0,0,0,0,
74.0,car,0,2,1111,309,1189,369,,0.0,0,0,0,0,
74.0,car,0,4,1363,324,1458,393,,0.0,0,0,0,0,
75.0,car,0,2,1108,309,1189,370,,0.0,0,0,0,0,
75.0,car,0,4,1356,325,1456,392,,0.0,0,0,0,0,
76.0,car,0,2,1106,308,1188,372,,0.0,0,0,0,0,
76.0,car,0,4,1356,324,1452,391,,0.0,0,0,0,0,
77.0,car,0,2,1106,307,1188,372,,0.0,0,0,0,0,
77.0,car,0,4,1352,325,1451,390,,0.0,0,0,0,0,
78.0,car,0,2,1105,306,1187,372,,0.0,0,0,0,0,
78.0,car,0,4,1349,325,1449,390,,0.0,0,0,0,0,
79.0,car,0,2,1104,306,1187,373,,0.0,0,0,0,0,
79.0,car,0,4,1347,324,1447,389,,0.0,0,0,0,0,
80.0,car,0,2,1102,306,1187,374,,0.0,0,0,0,0,
80.0,car,0,4,1344,324,1444,390,,0.0,0,0,0,0,
81.0,car,0,2,1101,306,1187,376,,0.0,0,0,0,0,
81.0,car,0,4,1343,325,1441,390,,0.0,0,0,0,0,
82.0,car,0,2,1099,306,1187,377,,0.0,0,0,0,0,
82.0,car,0,4,1342,325,1438,389,,0.0,0,0,0,0,
83.0,car,0,2,1097,305,1186,378,,0.0,0,0,0,0,
83.0,car,0,4,1342,323,1438,388,,0.0,0,0,0,0,
83.0,car,0,6,1304,319,1343,348,,0.0,0,0,0,0,
