fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
25.0,truck,0,4,245,471,408,620,,0.0,0,0,0,0,
26.0,car,0,1,662,539,919,712,,0.0,0,0,0,0,
26.0,car,0,2,901,535,1432,815,5963GYZ,0.46582743337910065,435,206,497,231,5963GYZ
26.0,car,0,3,1432,677,1918,1071,,0.0,0,0,0,0,
26.0,car,0,4,1466,576,1590,663,,0.0,0,0,0,0,
27.0,car,0,1,901,536,1432,816,E9830KZ,0.13629920399100617,435,205,504,229,E9830KZ
27.0,car,0,2,662,539,920,712,,0.0,0,0,0,0,
27.0,car,0,3,1455,575,1586,662,,0.0,0,0,0,0,
28.0,car,0,1,901,535,1432,816,59030YZ,0.21399920102128805,434,206,506,231,59030YZ
28.0,car,0,2,662,539,921,713,,0.0,0,0,0,0,
28.0,car,0,3,1453,572,1589,660,,0.0,0,0,0,0,
28.0,truck,0,4,242,471,409,622,,0.0,0,0,0,0,
29.0,car,0,1,902,536,1433,816,59030X7,0.22340599851420273,435,205,502,229,59030X7
29.0,car,0,2,662,539,921,713,,0.0,0,0,0,0,
29.0,car,0,3,1450,573,1589,660,,0.0,0,0,0,0,
30.0,car,0,1,663,540,921,712,,0.0,0,0,0,0,
30.0,car,0,2,901,537,1433,816,59007,0.4625273920810445,438,203,504,228,59007
30.0,car,0,3,1445,571,1589,662,,0.0,0,0,0,0,
31.0,car,0,1,663,540,921,714,,0.0,0,0,0,0,
31.0,car,0,2,902,536,1432,816,59830YZ,0.3742292480953566,432,206,501,230,59830YZ
31.0,car,0,3,1434,570,1589,662,,0.0,0,0,0,0,
32.0,car,0,1,664,540,921,714,,0.0,0,0,0,0,
32.0,car,0,2,902,536,1433,816,59820421,0.15795357932896925,435,207,505,230,59820421
32.0,car,0,3,1385,571,1588,666,,0.0,0,0,0,0,
33.0,car,0,1,665,540,922,714,,0.0,0,0,0,0,
33.0,car,0,2,903,536,1434,817,59836YZ,0.38111044792692056,432,206,506,231,59836YZ
33.0,car,0,3,1420,571,1591,664,,0.0,0,0,0,0,
34.0,car,0,1,665,541,922,715,,0.0,0,0,0,0,
34.0,car,0,2,903,536,1435,817,5906X2,0.23732134698390442,433,205,499,230,5906X2
34.0,car,0,3,1406,571,1591,664,,0.0,0,0,0,0,
35.0,car,0,1,665,541,922,715,,0.0,0,0,0,0,
35.0,car,0,2,903,536,1435,818,5983GXZ,0.48281424435531795,433,206,502,230,5983GXZ
35.0,car,0,3,1416,573,1590,662,,0.0,0,0,0,0,
36.0,car,0,1,665,541,923,716,,0.0,0,0,0,0,
36.0,car,0,2,903,536,1436,818,5903GX7,0.2440909334019495,439,206,500,231,5903GX7
36.0,car,0,3,1401,574,1589,663,,0.0,0,0,0,0,
37.0,car,0,1,665,540,924,716,,0.0,0,0,0,0,
37.0,car,0,2,904,535,1435,818,59036KZE,0.3644862324874029,436,208,506,232,59036KZE
37.0,car,0,3,1392,573,1591,666,,0.0,0,0,0,0,
38.0,car,0,1,666,539,924,716,,0.0,0,0,0,0,
38.0,car,0,2,904,535,1435,818,596302,0.4191201634788833,436,209,505,232,596302
38.0,car,0,3,1398,573,1592,665,,0.0,0,0,0,0,
38.0,car,0,4,418,506,484,564,,0.0,0,0,0,0,
39.0,car,0,1,665,540,925,716,,0.0,0,0,0,0,
39.0,car,0,2,904,536,1435,818,598002,0.37779327118813993,435,208,504,231,598002
39.0,car,0,3,1388,573,1590,664,,0.0,0,0,0,0,
40.0,car,0,1,665,541,925,717,,0.0,0,0,0,0,
40.0,car,0,2,904,536,1436,818,59802,0.46053263594211197,435,206,507,231,59802
40.0,car,0,3,1384,571,1587,663,,0.0,0,0,0,0,
41.0,car,0,1,665,543,924,718,,0.0,0,0,0,0,
41.0,car,0,2,905,538,1436,818,59002,0.36714786894205564,434,205,508,229,59002
41.0,car,0,3,1381,570,1587,664,,0.0,0,0,0,0,
