epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,113.921,2.48244,2.28495,1.87271,0,0,0,0,3.16015,9.15983,2.40037,0.00165983,0.00165983,0.00165983
51,115.716,2.28412,2.1178,1.93576,0,0,0,0,3.47415,7.26577,2.33186,0.00167,0.00167,0.00167
52,117.508,2.38064,2.21297,2.00086,0.00042,0.05,0.00024,5e-05,3.57902,7.19466,2.25157,0.0016634,0.0016634,0.0016634
53,119.295,2.21722,2.0385,1.87284,0.00045,0.05,0.00025,2e-05,3.55316,7.55876,2.20523,0.0016568,0.0016568,0.0016568
54,121.06,2.45047,2.48108,1.98601,0.00042,0.05,0.0452,0.00457,3.65888,4.68903,2.11499,0.0016502,0.0016502,0.0016502
55,122.85,2.36561,2.09998,1.96652,0.00042,0.05,0.0452,0.00681,3.93538,4.17482,2.05578,0.0016436,0.0016436,0.0016436
56,124.632,2.30656,2.07264,1.87063,0.00084,0.1,0.04547,0.00914,3.65698,3.93868,1.88129,0.001637,0.001637,0.001637
57,126.509,2.11771,1.99954,1.76432,0.00126,0.15,0.0489,0.01775,2.70391,3.43067,1.70539,0.0016304,0.0016304,0.0016304
58,128.475,2.14751,1.87105,1.84591,0.2225,0.05,0.06063,0.01931,2.83371,2.81148,1.74019,0.0016238,0.0016238,0.0016238
59,130.303,2.29027,1.95887,1.8928,0.32766,0.05,0.06518,0.02575,2.65861,2.90111,1.63198,0.0016172,0.0016172,0.0016172
60,132.093,2.22264,1.87628,1.78257,0.31511,0.05,0.07054,0.02176,2.47902,2.9363,1.54089,0.0016106,0.0016106,0.0016106
61,133.861,2.10946,1.94397,1.85965,0.35302,0.05,0.08554,0.03037,2.64771,2.85076,1.55897,0.001604,0.001604,0.001604
62,135.686,2.07943,1.85239,1.76076,0.49791,0.09937,0.07034,0.03122,2.60831,2.65209,1.52127,0.0015974,0.0015974,0.0015974
63,137.48,2.20401,1.98802,1.77344,0.58428,0.15,0.13161,0.02684,2.76484,2.65748,1.57817,0.0015908,0.0015908,0.0015908
64,139.249,2.21712,1.89959,1.76024,0.51267,0.1,0.11544,0.03816,2.60101,2.42131,1.47722,0.0015842,0.0015842,0.0015842
65,141.021,2.19299,1.82085,1.76155,0.70807,0.15,0.18829,0.06942,2.26546,2.07605,1.35129,0.0015776,0.0015776,0.0015776
66,142.817,2.08106,1.70306,1.6636,0.45255,0.2,0.17974,0.06901,2.49299,1.92502,1.41556,0.001571,0.001571,0.001571
67,144.578,2.17575,1.85161,1.8906,0.47064,0.2,0.16304,0.06003,2.71054,1.95552,1.50695,0.0015644,0.0015644,0.0015644
68,146.358,2.05909,1.74643,1.74202,0.74917,0.2,0.18808,0.06969,2.70952,1.96963,1.44061,0.0015578,0.0015578,0.0015578
69,148.134,2.08567,1.80296,1.6866,0.74263,0.2,0.18934,0.07539,2.61825,1.96069,1.408,0.0015512,0.0015512,0.0015512
70,149.904,2.05513,1.61124,1.58916,0.75417,0.2,0.19288,0.08412,2.5456,1.86846,1.37482,0.0015446,0.0015446,0.0015446
71,151.72,1.88976,1.61912,1.53105,0.75615,0.2,0.21124,0.10787,2.5844,1.89845,1.37033,0.001538,0.001538,0.001538
72,153.504,2.2289,1.74532,1.71131,0.61487,0.2,0.16354,0.06675,2.77921,2.11326,1.40899,0.0015314,0.0015314,0.0015314
73,155.279,2.22539,1.80024,1.79619,0.46459,0.25,0.1837,0.06226,2.93667,2.20256,1.48715,0.0015248,0.0015248,0.0015248
74,157.064,2.06798,1.80565,1.8066,0.49807,0.25,0.21503,0.07409,2.80369,2.1229,1.39377,0.0015182,0.0015182,0.0015182
75,158.861,1.96669,1.80058,1.68047,0.79509,0.25,0.23779,0.10329,2.62811,1.8712,1.3179,0.0015116,0.0015116,0.0015116
76,160.68,1.90663,1.64303,1.69588,0.39706,0.2,0.17054,0.0781,2.6958,2.17404,1.35745,0.001505,0.001505,0.001505
77,162.45,2.03719,1.6517,1.54217,0.49099,0.24189,0.19949,0.0756,2.92949,2.10956,1.4018,0.0014984,0.0014984,0.0014984
78,164.234,2.09298,1.7342,1.67155,0.83207,0.24811,0.25976,0.10728,2.73934,1.78282,1.31974,0.0014918,0.0014918,0.0014918
79,166.01,1.92655,1.50466,1.53637,0.95072,0.25,0.26283,0.12091,2.54746,1.69248,1.24059,0.0014852,0.0014852,0.0014852
80,167.85,2.19984,1.72065,1.6834,0.93672,0.25,0.2614,0.12105,2.60525,1.64328,1.25204,0.0014786,0.0014786,0.0014786
81,169.626,1.92297,1.52833,1.66452,1,0.29809,0.34995,0.09917,2.83489,1.52968,1.31111,0.001472,0.001472,0.001472
82,171.427,2.14787,1.76191,1.72951,0.95288,0.25,0.29214,0.10909,2.69293,1.42913,1.27882,0.0014654,0.0014654,0.0014654
83,173.243,2.0188,1.73681,1.54396,1,0.29994,0.35402,0.14468,2.4486,1.39689,1.2251,0.0014588,0.0014588,0.0014588
84,175.009,1.85374,1.54303,1.54947,0.82211,0.3,0.34233,0.15435,2.29595,1.38845,1.17334,0.0014522,0.0014522,0.0014522
85,176.805,1.91913,1.44604,1.54935,0.49932,0.4,0.36667,0.14616,2.25407,1.48413,1.16288,0.0014456,0.0014456,0.0014456
86,178.582,1.77572,1.43447,1.47829,0.69962,0.45,0.4314,0.1322,2.34568,1.51274,1.20236,0.001439,0.001439,0.001439
87,180.369,1.9234,1.44995,1.54289,0.53397,0.4,0.33185,0.10411,2.68088,1.57351,1.27357,0.0014324,0.0014324,0.0014324
88,182.142,2.04646,1.60665,1.59746,0.66259,0.45,0.43947,0.11718,2.72526,1.496,1.28844,0.0014258,0.0014258,0.0014258
89,183.905,1.91977,1.51926,1.53673,0.68767,0.5,0.42898,0.13114,2.50229,1.50594,1.25453,0.0014192,0.0014192,0.0014192
90,185.669,1.82823,1.45195,1.53793,0.67499,0.45,0.39182,0.13694,2.35889,1.57523,1.2386,0.0014126,0.0014126,0.0014126
91,187.481,1.96567,1.45069,1.48482,0.54977,0.42818,0.32393,0.08902,2.53397,1.76305,1.26544,0.001406,0.001406,0.001406
92,189.252,2.0578,1.67516,1.62128,0.62204,0.45,0.42035,0.1066,2.56398,1.67678,1.24482,0.0013994,0.0013994,0.0013994
93,191.025,1.99782,1.54028,1.51621,0.57787,0.45,0.37484,0.14546,2.2458,1.44456,1.19935,0.0013928,0.0013928,0.0013928
94,192.836,1.94234,1.44576,1.4727,0.55426,0.4,0.36285,0.16376,2.37998,1.43958,1.20599,0.0013862,0.0013862,0.0013862
95,194.608,1.79462,1.44289,1.47839,0.58743,0.4,0.37128,0.15766,2.52804,1.44594,1.2389,0.0013796,0.0013796,0.0013796
96,196.404,1.94225,1.36381,1.55863,0.7388,0.4,0.42111,0.1887,2.31687,1.28289,1.20424,0.001373,0.001373,0.001373
97,198.189,1.86147,1.43434,1.61152,0.71213,0.45,0.44897,0.17737,2.24119,1.26768,1.15455,0.0013664,0.0013664,0.0013664
98,199.953,1.73527,1.35416,1.46802,0.55565,0.4,0.35449,0.16639,2.15095,1.19611,1.11775,0.0013598,0.0013598,0.0013598
99,201.707,1.90205,1.41086,1.56133,0.59658,0.45,0.41048,0.1653,2.17426,1.26214,1.10281,0.0013532,0.0013532,0.0013532
100,203.487,1.82652,1.38252,1.51533,0.53144,0.45,0.42539,0.14457,2.34415,1.40973,1.12926,0.0013466,0.0013466,0.0013466
101,205.349,1.77826,1.40934,1.49725,0.62707,0.45,0.38927,0.16027,2.41153,1.44408,1.17266,0.00134,0.00134,0.00134
