epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00181,2.26789,5.68647,1.78493,0.00143,0.225,0.00107,0.00049,1.47372,4.10019,1.17067,0.00016,0.00016,0.00016
2,4.88603,1.7885,3.81087,1.28381,0.00349,0.55,0.09613,0.06386,1.47196,3.77796,1.04573,0.00032878,0.00032878,0.00032878
3,6.65175,1.80296,2.99191,1.25328,0.00349,0.55,0.12677,0.07251,1.37603,3.86624,1.07349,0.00048568,0.00048568,0.00048568
4,8.45898,1.83005,2.74483,1.22439,0.00413,0.65,0.17041,0.08841,1.42481,3.78823,1.03273,0.0006307,0.0006307,0.0006307
5,10.2151,1.70791,2.50521,1.2277,0.00413,0.65,0.11679,0.05074,1.66553,3.80279,1.08451,0.00076384,0.00076384,0.00076384
6,12.065,1.79308,2.34377,1.17364,0.47403,0.125,0.11922,0.03214,1.58766,3.74328,1.12077,0.0008851,0.0008851,0.0008851
7,13.8868,1.76624,2.37786,1.21278,0.00397,0.625,0.22528,0.09531,1.52029,3.60377,1.15403,0.00099448,0.00099448,0.00099448
8,15.9536,1.73079,2.26269,1.20111,0.37628,0.06127,0.09085,0.04707,1.5117,3.67489,1.29612,0.00109198,0.00109198,0.00109198
9,17.7657,1.71001,2.14683,1.22749,0.94943,0.15,0.2164,0.11576,1.50324,3.43547,1.28502,0.0011776,0.0011776,0.0011776
10,19.5761,1.67463,2.10337,1.19218,0.81841,0.11381,0.16507,0.08434,1.55401,3.54597,1.33568,0.00125134,0.00125134,0.00125134
11,21.3439,1.59623,1.95152,1.14089,0.66776,0.1,0.31267,0.14956,1.63516,3.21619,1.33144,0.0013132,0.0013132,0.0013132
12,23.1284,1.54808,1.8122,1.14424,0.63794,0.45,0.47166,0.26753,1.54016,2.66296,1.24191,0.001274,0.001274,0.001274
13,24.9376,1.59674,1.85968,1.14905,0.72604,0.53017,0.65615,0.32689,1.63724,2.29725,1.34199,0.001208,0.001208,0.001208
14,26.7897,1.61962,1.78435,1.16804,0.9205,0.57909,0.72232,0.35459,1.57606,2.16267,1.28234,0.001142,0.001142,0.001142
15,28.57,1.5059,1.71774,1.16598,0.75312,0.68655,0.72419,0.37837,1.59754,1.94163,1.29667,0.001076,0.001076,0.001076
16,30.3946,1.49548,1.57392,1.16662,0.66022,0.6,0.59126,0.28817,1.75769,1.91206,1.39495,0.00101,0.00101,0.00101
17,32.177,1.51865,1.59305,1.12086,0.68028,0.63848,0.58764,0.32751,1.63144,1.96861,1.34471,0.000944,0.000944,0.000944
18,33.9261,1.46608,1.51898,1.12557,0.66328,0.55,0.54634,0.29629,1.55623,2.27997,1.26196,0.000878,0.000878,0.000878
19,35.6972,1.57589,1.60082,1.13844,0.74552,0.65931,0.61554,0.34238,1.50718,1.79169,1.26109,0.000812,0.000812,0.000812
20,37.4642,1.46807,1.57282,1.14111,0.90311,0.69907,0.76286,0.40477,1.52426,1.31588,1.24661,0.000746,0.000746,0.000746
21,65.1164,1.42765,1.54922,1.15056,0.862,0.7,0.76893,0.43276,1.44138,1.3129,1.20512,0.00068,0.00068,0.00068
22,66.953,1.41614,1.4848,1.10998,0.73738,0.70201,0.7255,0.40528,1.42435,1.3391,1.2083,0.000614,0.000614,0.000614
23,68.7064,1.45416,1.53649,1.12159,0.87997,0.725,0.78576,0.42721,1.41457,1.28354,1.17035,0.000548,0.000548,0.000548
24,70.4859,1.40988,1.42394,1.09656,0.87415,0.75,0.78362,0.38491,1.50808,1.21826,1.18549,0.000482,0.000482,0.000482
25,72.2499,1.35116,1.41196,1.10331,0.85919,0.725,0.7761,0.4166,1.47041,1.20997,1.21049,0.000416,0.000416,0.000416
26,73.9682,1.31841,1.3567,1.07102,0.84947,0.7,0.79112,0.40768,1.51757,1.18356,1.20647,0.00035,0.00035,0.00035
27,75.7539,1.30461,1.29971,1.08317,0.8715,0.67827,0.78994,0.42891,1.51533,1.15373,1.19506,0.000284,0.000284,0.000284
28,77.505,1.2549,1.35165,1.05847,0.83081,0.73674,0.801,0.4346,1.52434,1.11603,1.2039,0.000218,0.000218,0.000218
29,79.2248,1.27577,1.28448,1.05768,0.8389,0.75,0.80451,0.43589,1.52923,1.11314,1.21239,0.000152,0.000152,0.000152
30,80.9711,1.20696,1.29565,1.02941,0.8787,0.72444,0.7794,0.43713,1.50163,1.09292,1.21156,8.6e-05,8.6e-05,8.6e-05
